nombre_municipio,asegurados,fecha
San Sebastián del Oeste       ,31,01/12/2016
Santa María de los Ángeles    ,125,01/12/2016
Santa María del Oro           ,1,01/12/2016
Sayula                        ,5055,01/12/2016
Tala                          ,17612,01/12/2016
Talpa de Allende              ,807,01/12/2016
Tamazula de Gordiano          ,9524,01/12/2016
Tapalpa                       ,1735,01/12/2016
Tecalitlán                    ,665,01/12/2016
Techaluta de Montenegro       ,72,01/12/2016
Tecolotlán                    ,924,01/12/2016
Tenamaxtlán                   ,590,01/12/2016
Teocaltiche                   ,2401,01/12/2016
Teocuitatlán de Corona        ,323,01/12/2016
Tepatitlán de Morelos         ,37308,01/12/2016
Tequila                       ,6306,01/12/2016
Teuchitlán                    ,550,01/12/2016
Tizapán el Alto               ,1715,01/12/2016
Tlajomulco de Zúñiga          ,74551,01/12/2016
Tolimán                       ,704,01/12/2016
Tomatlán                      ,1755,01/12/2016
Tonalá                        ,28880,01/12/2016
Tonaya                        ,964,01/12/2016
Tonila                        ,339,01/12/2016
Totatiche                     ,34,01/12/2016
Tototlán                      ,1655,01/12/2016
Tuxcacuesco                   ,3197,01/12/2016
Tuxcueca                      ,217,01/12/2016
Tuxpan                        ,5049,01/12/2016
Unión de San Antonio          ,1176,01/12/2016
Unión de Tula                 ,471,01/12/2016
Valle de Guadalupe            ,1475,01/12/2016
Valle de Juárez               ,252,01/12/2016
Villa Corona                  ,911,01/12/2016
Villa Guerrero                ,28,01/12/2016
Villa Hidalgo                 ,693,01/12/2016
Villa Purificación            ,132,01/12/2016
Yahualica de González Gallo   ,1342,01/12/2016
Zacoalco de Torres            ,1572,01/12/2016
Zapopan                       ,363628,01/12/2016
Zapotiltic                    ,5909,01/12/2016
Zapotitlán de Vadillo         ,45,01/12/2016
Zapotlán del Rey              ,1624,01/12/2016
Zapotlán el Grande            ,38220,01/12/2016
Zapotlanejo                   ,8759,01/12/2016
Acatic                        ,4514,01/12/2017
Acatlán de Juárez             ,5464,01/12/2017
Ahualulco de Mercado          ,1104,01/12/2017
Amacueca                      ,45,01/12/2017
Amatitán                      ,1162,01/12/2017
Ameca                         ,7691,01/12/2017
Arandas                       ,12283,01/12/2017
Atemajac de Brizuela          ,60,01/12/2017
Atengo                        ,21,01/12/2017
Atenguillo                    ,58,01/12/2017
Atotonilco el Alto            ,8239,01/12/2017
Atoyac                        ,561,01/12/2017
Autlán de Navarro             ,11676,01/12/2017
Ayotlán                       ,2729,01/12/2017
Ayutla                        ,328,01/12/2017
Bolaños                       ,744,01/12/2017
Cabo Corrientes               ,344,01/12/2017
Cañadas de Obregón            ,19,01/12/2017
Casimiro Castillo             ,3314,01/12/2017
Chapala                       ,5969,01/12/2017
Chimaltitán                   ,1,01/12/2017
Chiquilistlán                 ,105,01/12/2017
Cihuatlán                     ,1769,01/12/2017
Cocula                        ,2670,01/12/2017
Colotlán                      ,496,01/12/2017
Concepción de Buenos Aires    ,93,01/12/2017
Cuautitlán de García Barragán ,45,01/12/2017
Cuautla                       ,56,01/12/2017
Cuquío                        ,367,01/12/2017
Degollado                     ,661,01/12/2017
Ejutla                        ,2,01/12/2017
El Arenal                     ,1078,01/12/2017
El Grullo                     ,2992,01/12/2017
El Limón                      ,165,01/12/2017
El Salto                      ,50329,01/12/2017
Encarnación de Díaz           ,3289,01/12/2017
Etzatlán                      ,695,01/12/2017
Gómez Farías                  ,1311,01/12/2017
Guachinango                   ,178,01/12/2017
Guadalajara                   ,1016765,01/12/2017
Hostotipaquillo               ,218,01/12/2017
